ID,Name,Description,,First stage description,,Second stage description,,Third stage description,Terminal stage description,First stage effect,Second stage effect,Third stage effect,Medication description
DIS_TRUMAN,Syndrom Trumana,"W Kalifornii tę chorobę nazywają matołkiem. Dobrze się domyślasz - chory na matołka głupieje. Przywlekli ją emigranci z Europy, gdy ich ławica w 2024 przypłynęła ocean na tratwach z trzciny. Kon-Tiki sobie urządzili, skubańcy. Nazwa wzięła się od generała Mitchella Thurmana, tego skurwiela, który kazał strzelać do emigrantów. To on był pierwszą ofiarą - wsławił się tym, że kazał swoim żołnierzom atakować pole kaktusów. Inne, przywleczone przez Europejczyków choroby jakoś się nie przyjęły w Ameryce. Tylko matołek się ostał, jakbyśmy mieli za mało własnych głupków.",,"Zaczynają się twoje problemy z koncentracją. Czynności wymagające skupienia uwagi są dla ciebie trudniejsze niż dla innych. Zaczynasz mieć kłopoty z rzeczami, które dotychczas były dla ciebie łatwe - np. z liczeniem pieniędzy albo ocenieniem czy kula wystrzelona z pistoletu trafi w biegnącego mutanta. Te problemy pojawiają się wtedy, kiedy najbardziej potrzebujesz skupienia, rzecz jasna.",,"IQ spada ci, jak śmieg w zimie. Tylko uważaj na zaspy. Zawsze mówiuę w takiej sytuacji: oj, bracie masz kłopot. Teraz też tak zrobię: masz na prawdę spore kłopoty.",,"Jesteś debilem. Slinisz się i nie potrafisz przeczytać tekstu ""Knajpa"". To jeszcze pół biedy, ale gdy przeoczysz napisa ""Uwaga, zły pies"" - może być źle. Nikomu też nie zaimponuje śliniący się idiota. Zachowujesz się jak matoł: leziesz prosto pod koła ciężarówki, a w sytuacji, gdy kule świszczą koło uszu, śpiewasz skoczne  piosenki, stepując na barykadzie.","Na syndrom Thurmana się nie umiera. Ale i tak nie pograsz sobie swoim herosem - stajesz się warzywem, które robi pod siebie i na gówno mówi ""papu"". Oddaj kartę postaci.",,,,"Wbrew temu, co mogłoby się wydawać, amerykańskie laboratoria zareagowały dość szybko - wtedy jakieś w ogóle działały. Zidentyfikowali przyczynę choroby i wyprodukowali coś, co powstrzymuje postęp Syndromu Thurmana. Jest to zastrzyk, który trzeba przyjmować dożylnie (musisz mieć strzykawkę i czystą igłę, jeżli nie masz czystem igły, możesz wszczepić sobie jakieś paskudztwo). Nazywa się toto Reminex i znaleźć możesz z prawdopodobieństwem 40%. W pudełku masz 20 porcji."
DIS_TREMOR,Drgawki,"Właściwie nazwa tej choroby mówi już wszystko. Tylko symptomy się z czasem pogłębiają. Trzęsie tobą na potęge. Do tego stopnia, że w kolejnych stadiach nie możesz podnieść łyżeczki od herbaty do ust, nie mówiąc już o celowaniu z pistoletu. Choroba polega chyba na jakimś uszkodzeniu mózgu - impulsy nerwowe są źle przewodzone i stąd drgawki.",,"Zaczynasz mieć trudności z opanowaniem rąk. Cały drżysz, jakby było ci zimno albo jakbyć miał wysoką gorączkę.",,"Ręce trzęsą ci się tak, że nie jesteś w stanie utrzymać poprawnie pistoletu. Podczas sikania nie zrobisz już fajnego wzorku.",,"Raz dziennie o wybranej przez Mistrza Gry porze, zrób Trudny test Buowy. Jeśli go nie przejdziesz - padasz na ziemię, kopiesz nowami piach i drzesz rękami glebę. Masz regularny atak padaczki. Dodatkowym zagrożeniem jest to, że podczas ataku możesz zrobić sobie krzywdę - masz na to jedną szansę na dwie - czyli 50%. Mistrz Gry wymyśli dla ciebie jakiś efekt","Ataki padaczki są tak częste, że niemożliwiają normalne funkcjonowanie. W dodatku wycieńczony organizm odmawia posłuszeństwa - umierasz.",,,,"Jest na to lekarstwo, ale nie wiem, jak się nazywa (Relanium czy jakoś tak) i z czego się składa. Wystarczy, że poprosisz o lekarstwo na drgawki i masz jakieś 40% szansy, że to, co dostaniesz, będzie skutkowało."
DIS_HEMOPHILIA,Hemofilia,"Hemofilia to choroba genetyczna. Występuje zazwyczaj u facetów. Pewien jajogłowy tłumaczył mi, że mamy tylko jeden chromosom, a baby mają dwa. I dlatego tak się dzieje. Mało kłopotliwa choroba, pod warunkiem że się nie skaleczysz. Bo możesz wykrwawić się na śmierć. Hemofilia polega na braku krzepliwości krwi.",,Nie istnieją,,Nie istnieją,,Nie istnieją,Nie istnieją,,,,"Preparaty krwiopochodne. Trudno dostępne, zazwyczaj drogie. Krioprecypitat (5 tabletek w opakowaniu, dostępność 20%) oraz Desmopresynę (10 tabletek w opakowaniu, dostępność 30%) można dostać wszędzie, ale już świeże lub mrożone osocze (dostępność 10%) tylko w dużych skupiskach ludności, stojących na wysokim poziomie cywylizacyjnym i technicznym. Mrożonego osocza nie da się transportować na duże odległości bez specjalnej chłodni."
DIS_HOLLYWOOD,Drętwota Hollywood,"Po raz pierwszy zaobserwowano ją w Hollywood, 3 października 2020 roku. Tam właśnie zachorował na nią popularny aktor filmów akcji - Robert Malone. Od popularnego onelinera Mallone'a powstała druga nazwa choroby: I'm your worst nightmare. Prawdopodobnie choroba rozwijała się już wcześniej, ale nikt tego nie zauważył, bo gwiazdor zawsze zachowywał się jak kloc drewna. W filmach i w życiu prywatnym. Prawdopodobnie przegapiono pierwsze symptomy i stan ostry. Gdy zbadał go lekarz, było już za późno na jakikolwiek ratunek. Drętwota Hollywood, to kolejna choroba o powojennej prowinencji. Atakuje układ nerwowy i powoduje otępienie. Zmysły powoli przestają funkcjonować, aż do kompletnego zaniku.","Spryt:-2,Percepcja:-4, +10% do wszystkich testów, testy kontaktów z ludźmi -20%(ułatwienie)","Gorzej ci idzie wypatrywanie, nasłuchiwanie, wąchanie, dotykanie. I ta kamienna twarz!","Spryt:-4, Percepcja:-6, Charakter:+4 w testach Odporności na ból, +20% do wszystkich testów","Niedowidzisz, niedosłyszysz, ale za to nie czujesz prawie bólu.","Spryt -8, Percepcja -10, Charakter +8 w testach odporności na ból, +30% do wszystkich testów, testy kontaktów z ludźmi +60%",Jesteś prawie ślepy i głuchy. W dodatku otępiały.,"Zmieniasz się w kamień. No, dobra - fantazjuję. Nie w kamień, ale w kompletnego autystyka. Oddaj kartę postaci.",,,,"Jest nim Mallonix. Dostępny jest prawie wszędzie - masz 50% szans, że trafisz na to lekarstwo. Jedną kroplę rozpuszczasz w szklance wody i pijesz. Nie możesz tego dnia pić alkoholu, bo wtedy lek nie zadziała."
DIS_OSTEOPOROSIS,Oteoporoza ,"Osteoporoza, to choroba powodująca odwapnienie kości. Stają się one kruche i łatwo je złamać. Dlatego nie choruj na osteoporozę, gdy masz zamiar biegać, wspinać się po górach, czy skakać na spadochronie.",,"Tutaj jest pies pogrzebany, bo pierwsze objawy są niezauważalne. Nic się nie zmienia. Jeśli masz Budowę poniżej 7 punktów, nie masz pierwszych symptomów. Od razu przechodzisz do stanu ostrego.",,"Musisz uważać - przy większych wstrząsach, uderzeniach, masz 50% (wyniki 1-10 w rzucie k20) szans, że sobie coś złamiesz. A jeśli złamanie się zrośnie krzywo - marny twój los. Nie ma u nas ubezpieczeń społecznych.",,"Jest podobny do stanu ostrego, tyle że szansa jest większa - 75% (1-15 na k20). Poczytaj sobie coś o złamaniach szyjki udowej. Miłej zabawy.","Występuje na skutek złamania szyjki udowej ze stanu krytycznego. Jeżeli poczytałeś, to wiesz o co chodzi, a jak nie poczytałeś, to chyba lepiej dla ciebie. Stajesz się inwalidą i niestety - nie możesz już grać tą postacią.",,,,"Środki z wapniem, bifosfoniany i fluorek sodu. Brzmi mądrze, nie? Wapniak 25% szans na znalezienie."
DIS_DIZZY,Zawroty głowy,"Osobiście nie chciałbym mieć żadnych kłopotów z błędnikiem. To niezbyt fajnie zataczać się i rzygać, nie będąc pijanym",,"Jeśli zaniedbasz się i nie leczysz - będziesz cierpiał na chorobę lokomocyjną. Polega ona na tym że rzygasz, jak jedziesz czymkolwiek dłużej niż 10 minut.",,"Masz trudności z chodzeniem - lekko się zataczasz. Może walnij sobie lufę samogonu, to będziesz wyglądał na zdrowego człowieka? Ludzie mają cię za pijaka. Podczas leczenia musisz leżeć. Wolno ci chodzić tylko za potrzebą!",,"Leżysz, bo nie jesteś w stanie się poruszać. Wywołuje to u ciebie ogromne torsje. Dodatkowo pojawia się silny ból ucha. Tak silny, że leżysz i wyjesz.","Na to się nie umiera. Twoje szczęście. Stan krytyczny będzie się utrzymywał tak długo, dopóki się nie wyleczysz. Do tego czasu jesteś wyłączony z gry. Mam nadzieję, że masz dobrych kumpli...",,,,"Jest taki zestaw pastylek. Dość trudny do zlokalizowania, jeden lek - zielone pigułki, nazywające się Actinix (20 pastylek w opakowaniu) znajdziesz z szansą 50%. Jednak drugi - białe pigułki o nazwie Rephidal (8 pastylek w opakowaniu) tylko w 20%"
DIS_HEART,Niewydolność krążenia,"Twoje serce pracuje, jakby chciało, a nie mogło. Może to być arytmia, może coś innego. Szybko się męczysz i jesteś otępiały. Czasami występuje sinica - po prostu robisz się niebieski na pysku. Nic dobrego, chłopie.",,Duszno ci podczas wysiłu. Męczysz się szybciej niż inni i jesteś generalnie uciążliwy.,,"Duszno ci nawet, gdy leżysz. W dodatku masz 10% szans, że po każdym większym wysiłku przeskakujesz od razu do stanu terminalnego",,"Boli cię klatka, oddech krótki, jesteś jedną kupką nieszczęścia. Masz kłopoty z mówieniem, oddychaniem i tak dalej. Pojawiają się obrzęki nóg. Szansa przejścia od razu w stan terminalny rośnie do 20%.",Wysiaca ci pikawa i umierasz.,,,,"Znowu garść prochów. Stosuj leki wzmacniające kurczliwość serca. Stosuj leki przeciwzakrzepowe - kwas acetylosalicylowy, czyli mówiąc ludzkim językiem - aspiryna, a konkretniej aspiryna K (30 tabletek w opakowaniu, dostępność 60%), na którą teraz najłatwiej trafić. I ciesz się, że nie masz nadciśnienia, bo musiałbyś zażywać nitroglicerynę."
DIS_ANEMIA,Anemia,"Choroba krwi. Masz za mało czerwonych krwinek lub hemoglobiny i zanikający szpik kostrny, co stanowczo nie jest fajne. Męczysz się szybko, jesteś blady i łamią ci się paznokcie. Pół biedy, póki nie jesteś kobietą.",,"Masz przyspieszony oddech. Nic dziwnego - krew nie jest tak ""pojemna"", jak u zdrowych ludzi i żeby przetransportować tę samą ilość tlenu, musi szybciej krążyć.",,"Masz zawroty głowy, zadyszkę i poruszasz się dwa razy wolniej niż inni.",,"Właściwie nie możesz chodzić, bo przy każdym większym wysiłku niż machnięcie ręką - mdlejesz.",Występuje całkowity zanik szpiku kostnego i po prostu umierasz.,,,,"Preparaty krwiotwórcze. Oraz odpowiednie żarcie. No dobra, to ostatnie to żart, nie każę ci jeść szpinaku albo lucerny, bo te rośliny zdziczały i mają więcej pierwiastków radioaktywnych, niż żelaza. Lekarstwo występuje w dwóch postaciach: tańsze tabletki i droższe krople. Dostępność jednego i drugiego to około 60%. W opakowaniu: 40 tabletek lub 80 kropli."
DIS_MORBUS,Morbus Dexteri,"Jedyne, co jest fajne w teh chorobie, to nazwa. Jako pierwszy rozpoznał ją lekarz z Minnesoty - Charles Dexter. Mój znajomy łapiduch mówi, że to był szarlatan, nie lekarz - choroba ta, to zwykłe amnezje. Nie wiadomo za bardzo, od czego pochodzi: to prawdopodobnie choroba genetyczna. Polega ona na chwilowych zanikach pamięci: w pewnym momencie przestajesz wiedzieć, kim jesteś i co tu robisz. Ten stan mija po jakimś czasie i znowu stajesz się normalny.",,"Co kilka godzin tracisz na chwilę pamięć. Nie pamiętasz, kim jesteś, ani jak się nazywasz. Nie rozpoznajesz swoich kolegów i nie wiesz, kto jest szefem, ani podwładnym. Mistrz gry ma prawo w momencie utraty pamięci przejąć kontrolę nad twoją postacią. Stan powtarza się co trzy, cztery godziny (decyzja MG)",,"Dostajesz kolejnej amnezji. Tym razem jest poważniejsza: podczas ataku choroby, oprócz utraty wszystkich informacji, nie możesz wykorzystywać większości Umiejętności (decyzja MG). Jak widzisz nie jest to typowa amnezja.",,Zapominasz na stałe swoje personalia i część Umiejętności (decyzja MG),"Dopada cię demencja, czyli tracisz zdolność zapamiętywania czegokolwiek. Oddaj kartę.",,,,"Mało skuteczne i rzadko spotykane. Nazywa się Memoral, ma 80 tabletek w opakowaniu i znajdziesz z szansą 30%. Ma jeden hak: masz około 50% szans, że zadziała. Nie wiadomo dlaczego tak się dzieje."
DIS_DRACULA,Syndrom Draculi,"Chociaż Neuroshima, to nie WoD, to jednak możesz zostać istotą, która boi się światła słonecznego. Zachoruj na syndrom Draculi i masz to jak w banku. Sprowadza się do tego, że nie lubisz i nie tolerujesz światła słonecznego.",,"Twoja skóra źle znosi światło słońca. Staje się sucha, popękana i mocno czerwona. Piecze przy dotknięciu. Ale to nie wszystko, na skutek obrażeń otrzymujesz rany i słabniesz. Jest noc? Budowa nie spada. Siedzisz w bunkrze, oświetlony żarówką? Nie spada. Słońce jest za chmurami? Spada. Wchodzisz do solarium? Spada.",,Skóra przybiera brzydki brązowożółty odcień.,,"Nawet księżyc cię parzy. Z popękanej skóry toczy się śmierdząca, ciemnobrązowa ropa albo krew.",Nie masz już skóry. Oddaj kartę Mistrzowi.,,,,"Dracophen. To gęsty i niesmaczny syrop. Ciemna, nieprzeźroczysta buteleczka zawiera 100ml syropu. Wystarcza go na około 20 porcji leku. Prawdopodobieństwo znalezienia: 60%"
DIS_VTDS,Zespół wirusowej choroby języka,"Wirus, który wywołuje tę chorobę, nie jest skutkiem działania broni biologicznej, ale też ma wojenne pochodzenie. Prawdopodobnie to zmutowany wirus opryszczki, który z dość łagodnego kanapowego pieska stał się rozjuszonym pitbullem.",,"Język ci puchnie. Na skutek tego mówisz, jakbyś miał pełne usta i w dodatku nie czujesz skamu. Na razie jest to dość niegroźne.",,"Tutaj sytuacja staje się trudniejsza. Nie możesz jeść - cokolwiek włożysz do ust, powoduje to silny, ostry ból. Język jest obrzękły i sączy się z niego krew. Mówisz z trudem, wolno cedząc słowa. Na skutek nie przyjmowania pokarmów - słabniesz.",,"Twój język staje się miekki i galaretowaty. Uważaj na niego, bo wystarczy, że go lekko przygryziesz, a stracisz cały. Ból jest tak silny, że promieniuje na całą głowę. Nie możesz się poruszać, bo rozsadza ci czaszkę. Środki przeciwbólowe nie działają.","Umierasz z bólu, głodu i gorączki.",,,,"Cukierki do ssania o dużo mówiącej nazwie AVTDS. W jednym opakowaniu znajdziesz ich 30. Prawdopodobieństwo natrafienia na nie wynosi około 40%, a więc jest spora szansa."
DIS_PARANOIA,Paranoja,"Zawsze wydawało mi się, że wojna wyprodukuje przede wszystkim mutantów i ludzi chorych na ciele. A tu masz: pojawiło się mnóstwo wariatów. Z taką paranoją, bracie, nie masz większych szans w grupie. Po pierwsze, wszyscy dookoła będą mieli cię dość po kilku zdemaskowanych przez ciebie spiskach, po drugie, ty sam zamęczysz się psychicznie, a po trzecie wreszcie, możesz być niebezpieczny dla otoczenia i siebie.",,"Zaczynasz uważnie obserwować towarzyszy - widzisz dokładnie, jak wszyscy coś szepczą po kryjomu - może coś knują przeciw tobie? Nieźle kombinujesz. Masz tak zacięty wyraz twarzy, że strach się bać.",,"Musisz odkryć, kto jest twoim ukrytym wrogiem. Nękasz (zagraj to!) swoich kolegów nieustannymi podejrzeniami - może to być ich spisek przeciw tobie, może ktoś z drużyny jest awatarem Molocha, który postawił sobie za cel krzyżowanie ciebie, swego jedynego syna? Wymyślaj, co chcesz. W każdym razie nękaj ich, w końcu to, że wpadłeś do strumyka, nie mogło być przypadkowe. Że woda tam sięga ledwie kolan? Na pewno jest radioaktywna! Współczynniki prawie się nie zmieniają - nie chcemy cię karać, twoja drużyna zrobi to za nas!",,"Najwyższy czas przejść od słów, do czynów. Wiesz już, kto w drużynie knuje przeciw tobie. Wyrwij chwasta! Musisz uderzyć pierwszy, żeby nie dać się zaskoczyć. Stanowczo nie możesz zasnąć, bo cię dopadną.",Nie stwierdzono. Zawsze ktoś był szybszy. Ale na wszelki wypadek - tracisz kontrolę nad postacią.,,,,"Są psychotropy, które hamują rozwój tej choroby. Małe jednak szanse, że je znajdziesz: 25% szans. Pastylka albo czopek wiesz gdzie. Opakowanie zazwyczaj po 6 lub 12 sztuk leku, chociaż łatwiej dostać na sztuki."
DIS_MYOPIA,Krótkowzroczność autoimmunologiczna,"Jakby mało było, że chce cię zabić wszystko co biegnie, człapie czy pełznie po pustyni, to do tej listy dodać możesz teraz własny organizm. Pech chciał że twojemu systemowi immunologicznemu z jakiegoś powodu nie spodobały się twoje oczy - rozpoznaje je jako ciało obce i próbuje się ich pozbyć.",,"W pewnej piosence śpiewali ""Life's a blur, I'm going somewhere, dunno where"", ale w twoim przypadku to nie metafora, to opis twoich objawów. Jakbyś tych swoich zaropiałych patrzał nie wycierał, powyżej 60 metrów nie wiesz czy to co widzisz przed sobą to drzewo, czy koleś celujący do ciebie z karabinu.",,"Stajesz się ślepy jak kret - z tą różnicą, że kret nie ma wielkich, czerownych napuchniętych, ropiejących oczu. Widzisz tylko na 30 metrów przed sobą.",,"Twoje oczy przybierają kolor i konsystencję zsiadłego mleka. Trwale tracisz 1d6 punktów Percepcji. Do póki nie wyleczysz się do poprzedniego poziomu, stajesz się kompletnie ślepy.","Twoje oczy przybierają kolor i konsystencję zgniłych śliwek. Jeżeli nie masz w zasięgu słuchu (bo o wzroku możesz zapomnieć) porządnej kliniki, zakażenie rozprzestrzenia się do mózgu. Umierasz w drgawkach pieniąc z ust.",,,,