ID_Lek,Nazwa,Choroba,Opakowanie,Cena,Dostępność,Description,Flavor text,Effects,Czas w godzinach utrzymywania się efektu
DRUG_DECALIT,Decalit,DIS_CALC_LUNG,24,2,80,Tabletki Decalcitu w blistrze. Nowy ma 24 tabletki.,Powrzechny lek na zwapnienie płuc.,,
DRUG_CALCIDIS,Calcidis,DIS_CALC_LUNG,50,2,60,Plastikowy słoik tabletek Calcdisu. Nowy ma 50 tabletek.,Powrzechny lek na zwapnienie płuc.,,
DRUG_VALAPREN,Valapren,DIS_SAT_FEVER,20,5,20,Słoiczek z pastylkami Valeprenu. Nowy ma 20 pastylek.,"Valapren produkowany był przez kilka lat w jednej fabryce, gdzieś na północnym wschodzie. Nikt nie wie gdzie - ludzie, którzy handlują lekami nie ujawniają tak łatwo swoich źródeł. Na szczęście zrobili tego straszne ilości, ale w tej chwili niestety jest na wyczerpaniu - źródełko wysycha, a poza tym w okolicy pojawili się mutanci. Valapren jest coraz trudniej dostępny i droższy. Opakowanie to słoiczek z 20 pastylkami.",,
DRUG_EBOLAKILLER,Ebolakiller,DIS_EBOLA,1,4,40,"Duża tabletka, indywidualnie pakowana.","Ebolakiller. Często możesz kupić na sztuki. Dostępność tego jest nienajlepsza - około 40% szans, że na to trafisz. Lepiej kupuj więcej, bo skutki tej choroby są straszne. ",,
DRUG_TURBOKURARYNA,Tubokuraryna,DIS_MOUNT,1,1,70,"Fiołka do zastrzyku. Wykonując zastrzyk w brudzie, rzuć test Kondycji na infekcję.",Po wstrzyknięciu Turbokuraryny występuje godzinne porażenie mięśni twarzy i trudności z przełykaniem,,
DRUG_BENZODIAZEPINY,Benzodiazepiny,DIS_MOUNT,1,2,50,"Fiołka do zastrzyku. Wykonując zastrzyk w brudzie, rzuć test Kondycji na infekcję.","Benzodiazepiny jako lek miorelaksacyjny dzaiłający na wszystkie mięśnie poprzecznie prążkowane, powoduje senność i otępienie (+20% na dwie godziny po zażyciu),",,
DRUG_PROGABID,Progabid,DIS_MOUNT,1,3,40,"Fiołka do zastrzyku. Wykonując zastrzyk w brudzie, rzuć test Kondycji na infekcję.",Progabid wywołuje drżenie nóg i rąk (+10% do czynności manualnych),,
DRUG_PINIO,Pinic,DIS_ALIEN,50,1,60,"Butla śmierdzącego, gęstego, brązowego syropu w ciemnym szkle.","Pinic obniża kwasowość potu. Na rynku sprzedawany na butelki, bo to syrop. Z jednej butelki starczy na 50 łyżek.",,
DRUG_UREGYT,Uregyt [proszek w gramach],DIS_KIDNEY,1,2,80,Gramowa samarka proszku. ,"Dopiero mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza tworzy lek na chore nery. Sam Uregyt ma 50% szans zadziałać.",DRUG_EFFECTIVENESS:50,
DRUG_KWASFOLIOWY,Kwas Foliowy [proszek w gramach],DIS_KIDNEY,1,1,80,"Gramowa samarka proszku. Dopiero mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza tworzy lek na chore nery.","Dopiero mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza tworzy lek na chore nery. Sam Kwas Foliowy ma 50% szans zadziałać.",DRUG_EFFECTIVENESS:50,
DRUG_ZELAZO,Preparaty Żelaza [płyn w gramach],DIS_KIDNEY,1,1,80,"Gramowa samarka proszku. Dopiero mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza tworzy lek na chore nery.","Dopiero mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza tworzy lek na chore nery. Sam Preparat Żelaza ma 50% szans zadziałać.",DRUG_EFFECTIVENESS:50,
DRUG_MOCZOPEDNE,Gotowy lek na chore nery,DIS_KIDNEY,,3,50,"Mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza, gwarantuje leczenie chorych ner.","Zmieszany, gotowy lek na chore nery. Orenżadka że ja pierdolę.",,
DRUG_HISTAMINA,Leki Przeciwhistaminowe,DIS_ALLERGY,40,3,30,Blister tabletek przeciwhistaminowych. Nowe mają 40 tabletek w opakowaniu.,Nie działają od razu. ,,
DRUG_ALEF,Alef [proszek w gramach],DIS_BOSTON,1,2,50,Samarka z jednym gramem drobnego krystalicznego proszku.,Składnik leku na szaleństwo bostońskie. Stosowany sam ma tylko 25% szans że zadziała.,DRUG_EFFECTIVENESS:25,
DRUG_BET,Bet [proszek w gramach],DIS_BOSTON,1,2,40,"Samarka z jednym gramem żółtego, kleistego proszku.",Składnik leku na szaleństwo bostońskie. Stosowany sam ma tylko 25% szans że zadziała.,DRUG_EFFECTIVENESS:25,
DRUG_GIMEL,Gimel [proszek w gramach],DIS_BOSTON,1,2,40,"Samarka z jednym gramem szarego, mącznego proszku.",Składnik leku na szaleństwo bostońskie. Stosowany sam ma tylko 25% szans że zadziała.,DRUG_EFFECTIVENESS:25,
DRUG_BOSTON,Mieszanka antybiotyków na Szaleństwo Bostońskie,DIS_BOSTON,1,10,15,Zawinięty foliowy foreczek z jednym gramem żółtej bryłki lekarstwa na Szaleństwo Bostońskie. ,"Ten lek można wyprodukować samemu, mieszając Alef, Bet i Gimel.",,
DRUG_REMINEX,Reminex,DIS_TRUMAN,20,5,30,Pudełko z ampułkami przeźroczystej cieczy. Pełne ma 20 sztuk.,"Reminex to zastrzyk, który trzeba przyjmować dożylnie (musisz mieć strzykawkę i czystą igłę, jeżli nie masz czystem igły, możesz wszczepić sobie jakieś paskudztwo). W pudełku masz 20 porcji.",,
DRUG_DRGAWKI,Relanium,DIS_TREMOR,20,1,40,Blister małych białych tabletek. Nowy ma 20 sztuk.,,,
DRUG_KRIO,Kriopercypitat,DIS_HEMOPHILIA,5,10,20,"Blister z ze sporymi, biało-zielonymi kapsułkami w osłonce. Nowy ma 5 kapsułek.",,,
DRUG_OSOCZESWIEZE,Osocze świeże,DIS_HEMOPHILIA,1,5,10,Worek ludzkiego osocza,Po 48 godzinach przestaje nadawać się do użytku.,,
DRUG_OSOCZEMROZONE,Osocze mrożone,DIS_HEMOPHILIA,1,5,10,Zamrożone ludzkie osocze,Musi być transportowane w chłodni.,,
DRUG_DESMOPRESYNA,Desmopresyna,DIS_HEMOPHILIA,10,7,30,Czerwone prasowane pastylki w blistrze. Nowe ma 10 pastylek.,,,
DRUG_MALLONIX,Mallonix [krople w butelce],DIS_HOLLYWOOD,10,2,50,Szklana fiołka z pipetą. Pełne wystarcza na 10 dawek. ,"Nie możesz tego dnia pić alkoholu, bo wtedy lek nie zadziała.",,
DRUG_WAPNIAK,Wapniak [proszek w gramach],DIS_OSTEOPOROSIS,1,1,25,10-gramowa torebka z wapniakiem,"Środki z wapniem, bifosfoniany i fluorek sodu. Brzmi mądrze, nie?",,
DRUG_ACTINIX,Actinix,DIS_DIZZY,20,2,50,Zielone pigułki w blistrze. Nowe ma 20 pastylek w opakowaniu.,Jest taki zestaw pastylek. Dość trudny do zlokalizowania - mianowicie zielone pigułki Actinix i białe pigułki Rephidal. Brane odzielnie są kompletnie bezskuteczne.,DRUG_EFFECTIVENESS:0,
DRUG_REPHIDAL,Rephidal,DIS_DIZZY,8,3,25,Białe pigułki w blistrze. Nowe ma 8 pastylek w opakowaniu.,Jest taki zestaw pastylek. Dość trudny do zlokalizowania - mianowicie zielone pigułki Actinix i białe pigułki Rephidal. Brane odzielnie są kompletnie bezskuteczne.,DRUG_EFFECTIVENESS:0,
DRUG_REPHINIX,Actinix+Rephidal,DIS_DIZZY,16,6,10,Garść Actinixu i Rephidalu wymieszana 1 do 1,Dopiero zażycie tych dwóch tabletek jednocześnie leczy objawy zawrotów głowy.,,
DRUG_ASPIRYNAK,Aspiryna K,DIS_HEART,30,1,80,Blister sporych białych prasowanych tabletek. Nowy ma 30 tabletek.,"Lek przeciwzakrzepowy - kwas acetylosalicylowy, czyli mówiąc ludzkim językiem - aspiryna, a konkretniej aspiryna K.",,
DRUG_PREPARATT,Vallyn,DIS_ANEMIA,40,3,60,"Blister z małymi, okrągłymi, przeźroczystymi pigułkami. Nowy ma 40 pigułek.",,,
DEUG_PREPARATK,Getdint,DIS_ANEMIA,80,4,60,Zakręcana szklana buteleczka z dymionego szkła. Nowa zawiera 80 zakropień.,,,
DRUG_MEMORAL,Memoral,DIS_MORBUS,80,6,25,Blister z maleńkimi niebieslimi pigułkami. Nowy mieści aż 80 tabletek.,"Mało skuteczne i rzadko spotykane. Memoral ma jeden hak: masz 50% szans, że zadziała. Nie wiadomo dlaczego tak się dzieje.",DRUG_EFFECTIVENESS:50,
DRUG_DRACOPHEN,Dracophen,DIS_DRACULA,20,3,60,"Ciemna, nieprzeźroczysta buteleczka zawiera 20 porcji łyżek tego paskudźtwa.",Dracophen to gęsty i niesmaczny syrop.,,
DRUG_AVTDS,AVTDS,DIS_VTDS,30,2,40,Cukierki do ssania o dużo mówiącej nazwie AVTDS. W nowym opakowaniu znajdziesz ich 30. ,,,
DRUG_PSYCHOTROPYPIGULKA,Potatol,DIS_PARANOIA,6,6,20,"Małe, żółte pastylki powlekane. W nowym blistrze jest 6 sztuk.",,,
DRUG_PSYCHOTROPYCZOPEK,Rectalex,DIS_PARANOIA,12,2,40,"Spore, białe czopki doodbytnicze. W nowym opakowaniu jest 12 czopków. Po rozkruszeniu, zmieszniu z wodą z heroiną i podaniu doustnie stwierdzono śmierć.",,,
DRUG_WITAMINY,Witaminy,,20,1,80,Blister z powlekanymi kapsułkami. W nowym 20 sztuk.,Rzuć 2k20. Jeżeli wyrzucisz jedną lub więcej jedynkę masz +1 do budowy na następne 24h.,,
DRUG_PRZECIWBOLOWE,Leki Przeciwbólowe,,1,1,70,,,,
DRUG_MORFINA,Ampułka Morfiny,,1,10,25,Zawinięta w papier ampułka medycznej jakości morfiny wraz ze strzykawką.,"Usuwa kary za niezdane testy odporności na ból. Każdemu użyciu towarzyszy test Charakteru na uzależnienie - za pierwszym użyciem Łatwy, za drugim Problematyczny,za każdym kolejnym Bardzo Trudny. Po miesiąciu nieużywania powraca do Łatwego. ",EFFECT_PASSALLPAIN,2